id_registro,calificaciones
REG001,15:3.85-27:0.06-20:1.86-22:3.34-16:4.76
REG002,12:2.15-19:1.05-22:1.42-11:0.51-36:3.37
REG003,18:3.58-13:4.27-23:3.88-14:2.07-32:4.73
REG004,28:5.0-20:1.18-11:1.62-10:0.99-31:1.15
REG006,13:1.83-11:3.94-21:0.72-26:3.28-29:2.77
REG007,25:2.34-10:1.4-30:4.9-11:0.22-24:4.23
REG008,29:4.13-19:0.61-23:0.89-15:2.17-14:1.69
REG009,10:3.05-29:3.28-22:3.23-25:2.83-14:1.31
REG010,10:1.06-10:0.85-27:3.13-27:3.7-26:4.11
REG011,30:0.91-22:2.8-14:0.33-13:3.8-21:2.04
REG014,21:1.4-26:0.07-22:0.32-18:0.48-13:4.14
REG015,10:4.9-30:4.02-17:4.11-19:3.31-24:4.55
REG016,20:0.08-15:2.98-10:0.8-12:3.64-43:1.57
REG017,24:4.56-13:1.61-10:2.38-27:1.42-26:3.94
REG019,12:1.39-13:4.76-21:2.81-29:4.37-25:0.06
REG020,28:1.75-18:1.77-19:3.55-29:2.4-6:2.29
REG021,30:0.87-16:2.76-16:4.92-27:4.22-11:0.86
REG022,28:4.01-26:4.04-16:0.57-15:4.94-15:2.71
REG023,22:3.81-16:3.05-29:0.43-11:2.63-22:3.27
REG024,19:1.57-27:3.58-29:0.73-21:2.0-4:3.32
REG025,28:4.75-11:4.1-14:1.72-16:0.06-31:3.54
REG026,25:1.22-17:4.48-12:0.19-28:4.55-18:0.68
REG027,20:4.31-21:2.43-27:0.81-23:3.89-9:0.15
REG028,11:0.74-19:1.79-23:2.87-16:3.2-31:0.89
REG029,28:1.47-28:1.01-16:4.08-20:4.73-8:4.69
REG031,14:0.12-21:4.01-21:2.92-24:4.66-20:1.38
REG033,15:4.44-17:1.56-16:4.62-13:1.41-39:2.42
REG034,24:1.93-21:1.83-13:0.31-17:0.26-25:1.88
REG035,14:2.65-22:3.07-25:4.37-30:2.93-9:4.01
REG036,24:4.71-10:2.73-17:4.1-23:0.18-26:4.08
REG037,27:0.52-12:4.15-17:4.6-15:3.47-29:0.12
REG039,17:0.89-20:1.45-29:2.65-21:1.12-13:4.1
REG040,12:2.03-16:1.94-18:4.32-20:3.24-34:4.66
REG042,29:0.92-23:3.99-15:4.02-23:2.65-10:1.01
REG044,24:3.14-12:3.81-30:3.75-15:4.31-19:3.3
REG045,21:1.91-19:0.17-30:3.44-16:3.1-14:4.33
REG046,20:2.77-24:3.98-22:2.49-22:2.78-12:2.21
