id_reg,id_docente,id_estudiante,id_materia,periodo
REG001,U098,U048,CAL16,2023-2
REG002,U055,U004,BIO10,2024-1
REG003,U067,U056,FIL05,2023-2
REG004,U042,U038,ECO03,2024-1
REG005,U055,U060,FIL05,2024-2
REG006,U069,U056,ALG14,2023-1
REG007,U022,U062,IA15,2023-1
REG008,U081,U079,PSI13,2023-1
REG009,U034,U092,PRO09,2024-1
REG010,U013,U007,IA15,2023-1
REG011,U080,U099,ALG14,2023-1
REG012,U037,U015,INE18,2024-2
REG013,U033,U044,CAL16,2024-2
REG014,U008,U092,PSI13,2024-1
REG015,U067,U005,GEO11,2023-1
REG016,U037,U065,QUI06,2023-1
REG017,U098,U039,FIL05,2023-2
REG018,U095,U038,PRO09,2024-2
REG019,U027,U057,INE18,2023-1
REG020,U046,U007,INE18,2023-2
REG021,U028,U020,MEC12,2024-1
REG022,U084,U044,INE18,2024-1
REG023,U073,U032,PSI13,2024-1
REG024,U054,U089,CAL16,2023-2
REG025,U080,U007,QUI06,2024-1
REG026,U070,U024,GEO11,2023-1
REG027,U027,U016,DER08,2024-1
REG028,U054,U035,BIO10,2023-1
REG029,U033,U048,MEC12,2024-1
REG030,U080,U065,PRO19,2024-2
REG031,U008,U044,GEO11,2023-1
REG032,U087,U044,FIL05,2024-2
REG033,U008,U007,GEO11,2023-1
REG034,U045,U085,FIL05,2023-2
REG035,U033,U060,PRO19,2023-2
REG036,U010,U051,DER08,2023-2
REG037,U098,U039,PRO09,2023-2
REG038,U006,U097,CAL16,2024-2
REG039,U025,U053,INV17,2024-1
REG040,U033,U060,HIS02,2023-1
REG041,U009,U086,ECO03,2024-2
REG042,U054,U057,MEC12,2023-2
REG043,U006,U003,DER20,2024-2
REG044,U073,U007,DER20,2023-2
REG045,U030,U094,ELE04,2023-1
REG046,U098,U050,CIR07,2024-1
REG047,U030,U086,PSI13,2024-2
REG048,U049,U060,CAL16,2023-1
REG049,U033,U040,ALG14,2023-1
REG050,U068,U020,ECO03,2023-2
REG051,U046,U024,IA15,2024-2
REG052,U022,U018,DER08,2023-1
REG053,U095,U062,CAL16,2024-2
REG054,U080,U041,PRO09,2024-1
REG055,U088,U091,INV17,2023-2
REG056,U008,U035,ALG14,2023-1
REG057,U009,U062,INV17,2023-2
REG058,U069,U091,CAL16,2023-2
REG059,U008,U061,FIL05,2024-2
REG060,U087,U050,MEC12,2024-1
REG061,U033,U035,ECO03,2024-1
REG062,U055,U076,QUI06,2023-1
REG063,U095,U065,INE18,2024-2
REG064,U010,U031,PRO19,2024-1
REG065,U042,U061,MEC12,2023-2
REG066,U033,U031,ALG14,2023-2
REG067,U017,U086,PRO19,2024-2
REG068,U087,U075,ELE04,2023-2
REG069,U045,U074,BIO10,2024-1
REG070,U022,U063,INE18,2024-1
REG071,U033,U077,INE18,2024-2
REG072,U081,U061,CIR07,2023-1
REG073,U073,U091,INE18,2023-2
REG074,U012,U074,ECO03,2024-2
REG075,U081,U031,INE18,2023-1
REG076,U006,U065,PRO09,2023-1
REG077,U009,U032,DER20,2023-1
REG078,U055,U003,PRO09,2023-1
REG079,U054,U060,CIR07,2023-2
REG080,U073,U060,ELE04,2024-1
REG081,U017,U038,CIR07,2024-2
REG082,U068,U086,GEO11,2024-2
REG083,U046,U004,PSI13,2024-2
REG084,U042,U048,CIR07,2023-2
REG085,U001,U094,INE18,2024-2
REG086,U070,U024,CAL01,2024-2
REG087,U073,U061,CAL16,2023-1
REG088,U049,U039,PSI13,2023-1
REG089,U014,U035,HIS02,2023-1
REG090,U088,U035,DER08,2024-1
REG091,U081,U097,MEC12,2024-1
REG092,U088,U019,DER08,2023-2
REG093,U087,U041,CAL01,2024-1
REG094,U027,U082,ECO03,2023-2
REG095,U081,U018,PRO19,2024-2
REG096,U012,U018,MEC12,2023-1
REG097,U068,U020,CIR07,2024-2
REG098,U095,U050,BIO10,2024-1
REG099,U022,U099,FIL05,2024-2
REG100,U068,U061,INE18,2023-2
REG101,U054,U063,CAL01,2023-2
REG102,U025,U018,PSI13,2023-1
REG103,U098,U064,IA15,2024-1
REG104,U073,U079,ALG14,2023-2
REG105,U012,U003,ELE04,2023-2
REG106,U068,U021,ECO03,2023-1
REG107,U067,U072,QUI06,2023-2
REG108,U070,U043,DER08,2023-2
REG109,U010,U066,PSI13,2023-2
REG110,U028,U003,HIS02,2024-2
REG111,U033,U063,MEC12,2024-2
REG112,U017,U023,ECO03,2024-2
REG113,U080,U057,CIR07,2023-1
REG114,U069,U002,DER20,2024-1
